Actual Species,SpeciesName,SpeciesType
CORA,common raven,Corvid
BOGU,Bonaparte's gull,Gull
CAGU,California gull,Gull
GLGU,glaucous gull,Gull
gull,unidentified gull,Gull
GWGU,glaucous-winged gull,Gull
HEEG,heerman's gull,Gull
HERG,herring gull,Gull
MEGU,mew gull,Gull
RBGU,ring-billed gull,Gull
WEGU,western gull,Gull
AMPI,American pipit,Passerine
BRBL,brewer's blackbird,Passerine
LOSH,loggerhead shrike,Passerine
AMKE,American kestrel,Raptor
BNOW,barn owl,Raptor
BUOW,burrowing owl,Raptor
COHA,Cooper's hawk,Raptor
falcon,unidentified falcon,Raptor
FEHA,Ferruginous Hawk,Raptor
GHOW,great horned owl,Raptor
GOEA,golden eagle,Raptor
MERL,merlin,Raptor
NOHA,northern harrier,Raptor
OSPR,osprey,Raptor
owl,unidentified owl,Raptor
PEFA,peregrine falcon,Raptor
raptor,unidentified raptor,Raptor
RTHA,red-tailed hawk,Raptor
TUVU,turkey vulture,Raptor
WTKI,white-tailed kite,Raptor
BLSK,Black Skimmer,Seabird
BRAC,Brandt's cormorant,Seabird
BRPE,brown pelican,Seabird
COMU,common murre,Seabird
cormorant,unidentified cormorant,Seabird
DCCO,double-crested cormorant,Seabird
NOFU,northern fulmar,Seabird
PAJA,parasitic jaeger,Seabird
PECO,pelagic cormorant,Seabird
SUSC,surf scoter,Seabird
WEGR,western grebe,Seabird
AMAV,American avocet,Shorebird
AMGP,American golden-plover,Shorebird
BASA,Baird's sandpiper,Shorebird
BBPL,black-bellied plover,Shorebird
BBSA,buff-breasted sandpiper,Shorebird
BLOY,Black Oystercatcher,Shorebird
BLTU,black turnstone,Shorebird
BNST,black-necked stilt,Shorebird
DOWI,unidentified dowitcher,Shorebird
DUNL,dunlin,Shorebird
GRYE,greater yellowlegs,Shorebird
KILL,killdeer,Shorebird
LBCU,long-billed curlew,Shorebird
LESA,least sandpiper,Shorebird
MAGO,marbled godwit,Shorebird
peeps,unidentified peeps,Shorebird
PESA,pectoral sandpiper,Shorebird
phalarope,unidentified phalarope,Shorebird
REKN,red knot,Shorebird
RNPH,red-necked phalarope,Shorebird
RUTU,ruddy turnstone,Shorebird
SAND,sanderling,Shorebird
SEPL,semipalmated plover,Shorebird
SNPL,Snowy Plover,Shorebird
SPSA,spotted sandpiper,Shorebird
SURF,surfbird,Shorebird
WATA,Wandering Tattler,Shorebird
WESA,western sandpiper,Shorebird
WHIM,whimbrel,Shorebird
WILL,willet,Shorebird
WIPH,Wilson's phalarope,Shorebird
WISN,Wilson's snipe,Shorebird
YELL,unidentified yellowlegs,Shorebird
CATE,Caspian tern,Tern
COTE,common tern,Tern
ELTE,elegant tern,Tern
FOTE,Forster's tern,Tern
LETE,least tern,Tern
ROTE,royal tern,Tern
tern,unidentified tern,Tern
GBHE,great blue heron,Wader
GREG,great egret,Wader
REEG,reddish egret,Wader
SNEG,snowy egret,Wader
SORA,sora,Wader
WFIB,white-faced ibis,Wader
BLBR,black brant,Waterfowl
CAGO,Canada goose,Waterfowl
COME,common merganser,Waterfowl
goose,unidentified goose,Waterfowl
MALL,mallard,Waterfowl
merganser,unidentified merganser,Waterfowl
